,perid,tournament_perid,datetime,fmt,box,forfeit,loser,loser_score,winner,winner_score,date
27623,esports:match:73aa1a62-0d45-4b90-8d86-dec48d0d05c1,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 17:00:00+00:00,bestOf,1,0,Diffendo,0.0,pe4c3,1.0,2022-06-01
27640,esports:match:2f2f7175-ddee-43b7-b18c-3ca3eb31057b,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 16:00:00+00:00,bestOf,1,0,Kova Esports,0.0,Levadia,1.0,2022-06-01
27629,esports:match:424e20c2-5996-488d-9e4a-1f9a81dc3fb5,esports:tournament:26e2a1e1-a5af-4d6b-9aac-250c1fefadd9,2022-06-01 17:00:00+00:00,bestOf,3,0,MAD Lions,1.0,Sprout,2.0,2022-06-01
28261,esports:match:7acd7b56-55ec-48f7-9895-fb929b8c0acc,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 16:00:00+00:00,bestOf,1,0,Kappa Bar,0.0,VELOX,1.0,2022-06-01
27621,esports:match:b45e27f1-a557-4166-999a-98e7508fe526,esports:tournament:42febaed-6264-4eef-98d7-9569d0303f41,2022-06-01 12:10:00+00:00,bestOf,3,0,xNova,1.0,ARTiSAN Esports,2.0,2022-06-01
27688,esports:match:8df33625-df8d-469f-800a-bd9101161a87,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 16:00:00+00:00,bestOf,1,0,Savage,0.0,HONORIS,1.0,2022-06-01
27689,esports:match:a59e8451-8ece-4c4a-b507-0257207ad1fe,esports:tournament:ed011298-a5cb-4447-a667-b578c116fe46,2022-06-01 00:00:00+00:00,bestOf,3,0,Bad News Bears,0.0,Strife Esports,2.0,2022-06-01
27717,esports:match:9cb972c1-615a-4da5-acae-9944c0e03208,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 18:00:00+00:00,bestOf,1,0,Nenka,0.0,Levadia,1.0,2022-06-01
27889,esports:match:2f622e5c-880a-41c5-9027-dfb1591a6246,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 18:00:00+00:00,bestOf,1,0,Dark Tigers,0.0,Savage,1.0,2022-06-01
27887,esports:match:6d5856d9-b6f4-4dd6-81b1-78c4f527788a,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 01:00:00+00:00,bestOf,1,0,Take Flyte,0.0,ONET4P,1.0,2022-06-01
